[2026-02-09T10:10:48.605Z] 5:10:48 AM [vite] (client) page reload src/components/MobileOptimized.test.ts
[2026-02-09T10:10:48.606Z] 5:10:48 AM [vite] (client) page reload src/components/MobileOptimized.tsx
[2026-02-09T10:10:48.606Z] 5:10:48 AM [vite] (client) page reload src/components/MobileOptimizedDashboard.tsx
[2026-02-09T10:10:48.606Z] 5:10:48 AM [vite] (client) page reload src/components/MobilePreferenceSync.tsx
[2026-02-09T10:10:48.606Z] 5:10:48 AM [vite] (client) page reload src/components/MobileResponsiveLayout.tsx
[2026-02-09T10:10:48.607Z] 5:10:48 AM [vite] (client) page reload src/components/MobileSocialSharing.tsx
[2026-02-09T10:10:48.607Z] 5:10:48 AM [vite] (client) page reload src/components/MobileTabMenu.tsx
[2026-02-09T10:10:48.607Z] 5:10:48 AM [vite] (client) page reload src/components/MobileTouchOptimizer.tsx
[2026-02-09T10:10:48.608Z] 5:10:48 AM [vite] (client) page reload src/components/MonitoringDashboard.tsx
[2026-02-09T10:10:48.608Z] 5:10:48 AM [vite] (client) page reload src/components/NetworkStatusDashboard.tsx
[2026-02-09T10:10:48.608Z] 5:10:48 AM [vite] (client) page reload src/components/NewsletterSignup.tsx
[2026-02-09T10:10:48.608Z] 5:10:48 AM [vite] (client) page reload src/components/NotificationCenter.tsx
[2026-02-09T10:10:48.609Z] 5:10:48 AM [vite] (client) page reload src/components/NotificationSoundLibrary.tsx
[2026-02-09T10:10:48.609Z] 5:10:48 AM [vite] (client) page reload src/components/NotificationToast.tsx
[2026-02-09T10:10:48.609Z] 5:10:48 AM [vite] (client) page reload src/components/NotificationsDashboard.tsx
[2026-02-09T10:10:48.609Z] 5:10:48 AM [vite] (client) page reload src/components/OfflineMode.tsx
[2026-02-09T10:10:48.610Z] 5:10:48 AM [vite] (client) page reload src/components/PerformanceOptimizationDashboard.tsx
[2026-02-09T10:10:48.610Z] 5:10:48 AM [vite] (client) page reload src/components/PerformanceRegressionDashboard.tsx
[2026-02-09T10:10:48.610Z] 5:10:48 AM [vite] (client) page reload src/components/PermissionsManager.tsx
[2026-02-09T10:10:48.611Z] 5:10:48 AM [vite] (client) page reload src/components/PersonalityProfiles.tsx
[2026-02-09T10:10:48.611Z] 5:10:48 AM [vite] (client) page reload src/components/PinnedMessages.tsx
[2026-02-09T10:10:48.611Z] 5:10:48 AM [vite] (client) page reload src/components/PodcastPlayer.tsx
[2026-02-09T10:10:48.611Z] 5:10:48 AM [vite] (client) page reload src/components/QueueManager.tsx
[2026-02-09T10:10:48.612Z] 5:10:48 AM [vite] (client) page reload src/components/QumusChatCommandCenter.tsx
[2026-02-09T10:10:48.612Z] 5:10:48 AM [vite] (client) page reload src/components/QumusChatInterface.tsx
[2026-02-09T10:10:48.612Z] 5:10:48 AM [vite] (client) page reload src/components/QumusChatWithCommands.tsx
[2026-02-09T10:10:48.613Z] 5:10:48 AM [vite] (client) page reload src/components/QumusChatWithOverride.tsx
[2026-02-09T10:10:48.613Z] 5:10:48 AM [vite] (client) page reload src/components/QumusMonitoringDashboard.tsx
[2026-02-09T10:10:48.613Z] 5:10:48 AM [vite] (client) page reload src/components/RRBBroadcastMonitoring.tsx
[2026-02-09T10:10:48.613Z] 5:10:48 AM [vite] (client) page reload src/components/RateLimitingUI.tsx
[2026-02-09T10:10:48.614Z] 5:10:48 AM [vite] (client) page reload src/components/RealTimeDecisionVisualization.tsx
[2026-02-09T10:10:48.614Z] 5:10:48 AM [vite] (client) page reload src/components/RealTimeTranscription.tsx
[2026-02-09T10:10:48.614Z] 5:10:48 AM [vite] (client) page reload src/components/RealtimeCollaboration.tsx
[2026-02-09T10:10:48.615Z] 5:10:48 AM [vite] (client) page reload src/components/RealtimeCollaborationUI.tsx
[2026-02-09T10:10:48.615Z] 5:10:48 AM [vite] (client) page reload src/components/RecordingControls.tsx
[2026-02-09T10:10:48.615Z] 5:10:48 AM [vite] (client) page reload src/components/RockinBoogiePlayer.tsx
[2026-02-09T10:10:48.615Z] 5:10:48 AM [vite] (client) page reload src/components/RockinBoogiePlayerEnhanced.tsx
[2026-02-09T10:10:48.616Z] 5:10:48 AM [vite] (client) page reload src/components/RockinBoogiePlayerFinal.tsx
[2026-02-09T10:10:48.616Z] 5:10:48 AM [vite] (client) page reload src/components/RockinBoogiePlayerUpgraded.tsx
[2026-02-09T10:10:48.616Z] 5:10:48 AM [vite] (client) page reload src/components/RockinBoogieWidget.tsx
[2026-02-09T10:10:48.617Z] 5:10:48 AM [vite] (client) page reload src/components/RunbookExecutionUI.tsx
[2026-02-09T10:10:48.617Z] 5:10:48 AM [vite] (client) page reload src/components/SLAComplianceDashboard.tsx
[2026-02-09T10:10:48.617Z] 5:10:48 AM [vite] (client) page reload src/components/ScheduleManager.tsx
[2026-02-09T10:10:48.617Z] 5:10:48 AM [vite] (client) page reload src/components/ScheduledGenerationDashboard.tsx
[2026-02-09T10:10:48.618Z] 5:10:48 AM [vite] (client) page reload src/components/SeamlessAgentConnectionHub.tsx
[2026-02-09T10:10:48.618Z] 5:10:48 AM [vite] (client) page reload src/components/SessionBookmarks.tsx
[2026-02-09T10:10:48.618Z] 5:10:48 AM [vite] (client) page reload src/components/SessionBranching.tsx
[2026-02-09T10:10:48.618Z] 5:10:48 AM [vite] (client) page reload src/components/SessionComments.tsx
[2026-02-09T10:10:48.619Z] 5:10:48 AM [vite] (client) page reload src/components/SessionComparison.tsx
[2026-02-09T10:10:48.619Z] 5:10:48 AM [vite] (client) page reload src/components/SessionDiffViewer.tsx
[2026-02-09T10:10:48.619Z] 5:10:48 AM [vite] (client) page reload src/components/SessionExport.tsx
[2026-02-09T10:10:48.620Z] 5:10:48 AM [vite] (client) page reload src/components/SessionPinning.tsx
[2026-02-09T10:10:48.620Z] 5:10:48 AM [vite] (client) page reload src/components/SessionReplay.tsx
[2026-02-09T10:10:48.620Z] 5:10:48 AM [vite] (client) page reload src/components/SessionSearch.tsx
[2026-02-09T10:10:48.621Z] 5:10:48 AM [vite] (client) page reload src/components/SessionSharing.tsx
[2026-02-09T10:10:48.621Z] 5:10:48 AM [vite] (client) page reload src/components/SessionTemplates.tsx
[2026-02-09T10:10:48.621Z] 5:10:48 AM [vite] (client) page reload src/components/SessionVersionHistory.tsx
[2026-02-09T10:10:48.621Z] 5:10:48 AM [vite] (client) page reload src/components/ShareConversation.tsx
[2026-02-09T10:10:48.622Z] 5:10:48 AM [vite] (client) page reload src/components/ShareableLink.tsx
[2026-02-09T10:10:48.622Z] 5:10:48 AM [vite] (client) page reload src/components/SharedListeningSession.tsx
[2026-02-09T10:10:48.622Z] 5:10:48 AM [vite] (client) page reload src/components/SimplifiedMobileNav.tsx
[2026-02-09T10:10:48.623Z] 5:10:48 AM [vite] (client) page reload src/components/TaskHistoryTracker.tsx
[2026-02-09T10:10:48.623Z] 5:10:48 AM [vite] (client) page reload src/components/TeamAnalyticsDashboard.tsx
[2026-02-09T10:10:48.624Z] 5:10:48 AM [vite] (client) page reload src/components/ThemeToggle.tsx
[2026-02-09T10:10:48.624Z] 5:10:48 AM [vite] (client) page reload src/components/TimelineEditor.tsx
[2026-02-09T10:10:48.624Z] 5:10:48 AM [vite] (client) page reload src/components/ToolDashboard.tsx
[2026-02-09T10:10:48.625Z] 5:10:48 AM [vite] (client) page reload src/components/TypingIndicator.tsx
[2026-02-09T10:10:48.625Z] 5:10:48 AM [vite] (client) page reload src/components/UndoRedoControls.tsx
[2026-02-09T10:10:48.625Z] 5:10:48 AM [vite] (client) page reload src/components/UnifiedAudioPlayer.tsx
[2026-02-09T10:10:48.626Z] 5:10:48 AM [vite] (client) page reload src/components/UserPreferencesPanel.tsx
[2026-02-09T10:10:48.626Z] 5:10:48 AM [vite] (client) page reload src/components/VersionHistory.tsx
[2026-02-09T10:10:48.626Z] 5:10:48 AM [vite] (client) page reload src/components/VideoComments.tsx
[2026-02-09T10:10:48.626Z] 5:10:48 AM [vite] (client) page reload src/components/VideoEditor.tsx
[2026-02-09T10:10:48.627Z] 5:10:48 AM [vite] (client) page reload src/components/VideoGallery.tsx
[2026-02-09T10:10:48.627Z] 5:10:48 AM [vite] (client) page reload src/components/VideoGenerationWithWorkflow.tsx
[2026-02-09T10:10:48.627Z] 5:10:48 AM [vite] (client) page reload src/components/VideoGenerator.tsx
[2026-02-09T10:10:48.628Z] 5:10:48 AM [vite] (client) page reload src/components/VideoPreview.tsx
[2026-02-09T10:10:48.628Z] 5:10:48 AM [vite] (client) page reload src/components/VideoPreviewEmbed.tsx
[2026-02-09T10:10:48.628Z] 5:10:48 AM [vite] (client) page reload src/components/VideoReactions.tsx
[2026-02-09T10:10:48.628Z] 5:10:48 AM [vite] (client) page reload src/components/VoiceChat.tsx
[2026-02-09T10:10:48.629Z] 5:10:48 AM [vite] (client) page reload src/components/VoiceInput.tsx
[2026-02-09T10:10:48.629Z] 5:10:48 AM [vite] (client) page reload src/components/VoiceToText.tsx
[2026-02-09T10:10:48.629Z] 5:10:48 AM [vite] (client) page reload src/components/WebSocketStatus.tsx
[2026-02-09T10:10:48.629Z] 5:10:48 AM [vite] (client) page reload src/components/WorkflowBuilder.tsx
[2026-02-09T10:10:48.630Z] 5:10:48 AM [vite] (client) page reload src/components/WorkspaceDashboard.tsx
[2026-02-09T10:10:48.630Z] 5:10:48 AM [vite] (client) page reload src/components/WorkspaceManager.tsx
[2026-02-09T10:10:48.630Z] 5:10:48 AM [vite] (client) page reload src/components/__tests__/AudioPlayback.test.ts
[2026-02-09T10:10:48.631Z] 5:10:48 AM [vite] (client) page reload src/components/batch/BatchProcessingDashboard.tsx
[2026-02-09T10:10:48.631Z] 5:10:48 AM [vite] (client) page reload src/components/onboarding/FeatureOnboardingTour.tsx
[2026-02-09T10:10:48.631Z] 5:10:48 AM [vite] (client) page reload src/components/storyboard/AIStoryboardingEngine.tsx
[2026-02-09T10:10:48.631Z] 5:10:48 AM [vite] (client) page reload src/components/ui/accordion.tsx
[2026-02-09T10:10:48.632Z] 5:10:48 AM [vite] (client) page reload src/components/ui/alert-dialog.tsx
[2026-02-09T10:10:48.632Z] 5:10:48 AM [vite] (client) page reload src/components/ui/alert.tsx
[2026-02-09T10:10:48.632Z] 5:10:48 AM [vite] (client) page reload src/components/ui/aspect-ratio.tsx
[2026-02-09T10:10:48.633Z] 5:10:48 AM [vite] (client) page reload src/components/ui/avatar.tsx
[2026-02-09T10:10:48.633Z] 5:10:48 AM [vite] (client) page reload src/components/ui/badge.tsx
[2026-02-09T10:10:48.633Z] 5:10:48 AM [vite] (client) page reload src/components/ui/breadcrumb.tsx
[2026-02-09T10:10:48.633Z] 5:10:48 AM [vite] (client) page reload src/components/ui/button-group.tsx
[2026-02-09T10:10:48.634Z] 5:10:48 AM [vite] (client) page reload src/components/ui/button.tsx
[2026-02-09T10:10:48.634Z] 5:10:48 AM [vite] (client) page reload src/components/ui/calendar.tsx
[2026-02-09T10:10:48.634Z] 5:10:48 AM [vite] (client) page reload src/components/ui/card.tsx
[2026-02-09T10:10:48.635Z] 5:10:48 AM [vite] (client) page reload src/components/ui/carousel.tsx
[2026-02-09T10:10:48.635Z] 5:10:48 AM [vite] (client) page reload src/components/ui/chart.tsx
[2026-02-09T10:10:48.637Z] 5:10:48 AM [vite] (client) page reload src/components/ui/checkbox.tsx
[2026-02-09T10:10:48.638Z] 5:10:48 AM [vite] (client) page reload src/components/ui/collapsible.tsx
[2026-02-09T10:10:48.638Z] 5:10:48 AM [vite] (client) page reload src/components/ui/command.tsx
[2026-02-09T10:10:48.638Z] 5:10:48 AM [vite] (client) page reload src/components/ui/context-menu.tsx
[2026-02-09T10:10:48.639Z] 5:10:48 AM [vite] (client) page reload src/components/ui/dialog.tsx
[2026-02-09T10:10:48.639Z] 5:10:48 AM [vite] (client) page reload src/components/ui/drawer.tsx
[2026-02-09T10:10:48.639Z] 5:10:48 AM [vite] (client) page reload src/components/ui/dropdown-menu.tsx
[2026-02-09T10:10:48.639Z] 5:10:48 AM [vite] (client) page reload src/components/ui/empty.tsx
[2026-02-09T10:10:48.640Z] 5:10:48 AM [vite] (client) page reload src/components/ui/field.tsx
[2026-02-09T10:10:48.640Z] 5:10:48 AM [vite] (client) page reload src/components/ui/form.tsx
[2026-02-09T10:10:48.640Z] 5:10:48 AM [vite] (client) page reload src/components/ui/hover-card.tsx
[2026-02-09T10:10:48.640Z] 5:10:48 AM [vite] (client) page reload src/components/ui/input-group.tsx
[2026-02-09T10:10:48.641Z] 5:10:48 AM [vite] (client) page reload src/components/ui/input-otp.tsx
[2026-02-09T10:10:48.641Z] 5:10:48 AM [vite] (client) page reload src/components/ui/input.tsx
[2026-02-09T10:10:48.641Z] 5:10:48 AM [vite] (client) page reload src/components/ui/item.tsx
[2026-02-09T10:10:48.642Z] 5:10:48 AM [vite] (client) page reload src/components/ui/kbd.tsx
[2026-02-09T10:10:48.642Z] 5:10:48 AM [vite] (client) page reload src/components/ui/label.tsx
[2026-02-09T10:10:48.642Z] 5:10:48 AM [vite] (client) page reload src/components/ui/menubar.tsx
[2026-02-09T10:10:48.642Z] 5:10:48 AM [vite] (client) page reload src/components/ui/navigation-menu.tsx
[2026-02-09T10:10:48.643Z] 5:10:48 AM [vite] (client) page reload src/components/ui/pagination.tsx
[2026-02-09T10:10:48.643Z] 5:10:48 AM [vite] (client) page reload src/components/ui/popover.tsx
[2026-02-09T10:10:48.643Z] 5:10:48 AM [vite] (client) page reload src/components/ui/progress.tsx
[2026-02-09T10:10:48.644Z] 5:10:48 AM [vite] (client) page reload src/components/ui/radio-group.tsx
[2026-02-09T10:10:48.644Z] 5:10:48 AM [vite] (client) page reload src/components/ui/resizable.tsx
[2026-02-09T10:10:48.644Z] 5:10:48 AM [vite] (client) page reload src/components/ui/scroll-area.tsx
[2026-02-09T10:10:48.644Z] 5:10:48 AM [vite] (client) page reload src/components/ui/select.tsx
[2026-02-09T10:10:48.645Z] 5:10:48 AM [vite] (client) page reload src/components/ui/separator.tsx
[2026-02-09T10:10:48.645Z] 5:10:48 AM [vite] (client) page reload src/components/ui/sheet.tsx
[2026-02-09T10:10:48.645Z] 5:10:48 AM [vite] (client) page reload src/components/ui/sidebar.tsx
[2026-02-09T10:10:48.645Z] 5:10:48 AM [vite] (client) page reload src/components/ui/skeleton.tsx
[2026-02-09T10:10:48.646Z] 5:10:48 AM [vite] (client) page reload src/components/ui/slider.tsx
[2026-02-09T10:10:48.646Z] 5:10:48 AM [vite] (client) page reload src/components/ui/sonner.tsx
[2026-02-09T10:10:48.646Z] 5:10:48 AM [vite] (client) page reload src/components/ui/spinner.tsx
[2026-02-09T10:10:48.646Z] 5:10:48 AM [vite] (client) page reload src/components/ui/switch.tsx
[2026-02-09T10:10:48.647Z] 5:10:48 AM [vite] (client) page reload src/components/ui/table.tsx
[2026-02-09T10:10:48.647Z] 5:10:48 AM [vite] (client) page reload src/components/ui/tabs.tsx
[2026-02-09T10:10:48.648Z] 5:10:48 AM [vite] (client) page reload src/components/ui/textarea.tsx
[2026-02-09T10:10:48.649Z] 5:10:48 AM [vite] (client) page reload src/components/ui/toggle-group.tsx
[2026-02-09T10:10:48.649Z] 5:10:48 AM [vite] (client) page reload src/components/ui/toggle.tsx
